T-0,T-15,T-30,T-60,T-120,T-300,T-600,T-1200,T-3600
1,1.982,3.8929,2.4649,3.5012,6.567282,4.921987,8.05888,6.96088
1,1.013942,0.98756,1.031,0.97595,0.9459842,1.019805,0.9107468,0.9646923
1,1.013942,0.98756,1.031,0.97595,0.9459842,1.019805,0.9107468,0.9646923
1,1.1601,1.0331,1.1713,1.2723,0.7660487,0.6095703,0.4641879,0.3211923
1,0.91299,0.90664,1.0034,0.78384,0.7649687,0.77503725,0.8335417,1.938097
1,1.0711,1.0755,0.8969414,0.9915717,1.060682,0.9421518,0.9734255,0.9566631
1,0.9573042,1.1043,0.812475,0.94516,1.3237855,1.09092,1.21822,1.359823
1,1.2526,0.93123125,0.9293345,1.2266,0.9595088,3.496289,4.1409035,8.223008
1,1.5104,2.0734,3.527,3.5059,8.474576,6.577216,7.141327,7.337834
1,1.5579,1.5716,1.3974,1.5762,1.400697,1.191852,1.085105,1.073941
1,0.88228,1.025,0.99983,1.065725,1.02522,0.974374,1.560379,0.9748489
1,0.947325,1.0568,0.94422,0.941215,0.9738995,0.9441087,1.102159,0.9871668
1,0.947325,1.0568,0.985635,0.92228,1.005884,0.9703086,1.102159,0.9871668
1,0.947325,1.0568,0.985635,0.92228,0.9738995,0.9703086,1.102159,0.9871668
1,0.7601,0.77865,0.7408,0.79921,1.048845,1.305739,1.517128,1.439657
1,1.13105855,1.8182,0.97108,1.176,1.1681378,0.9481369,1.2669685,1.107874
1,0.95856,1.050817,0.98798,1.0047,0.9199632,1.039047,0.9807767,0.8944544
1,0.69231,0.9790484,0.99372,1.361378,0.81550585,0.7878358,0.7389345,0.6614195
1,1.111173,0.84294,0.87454,0.9634,0.729927,0.6873797,0.779241,0.7102777
1,1.1657,0.96682,1.2633,1.2905,4.0643275,1.658081,3.5366365,1.490446
1,1.2644,1.1348,1.25935,1.20345,1.6991455,1.5411535,1.5288505,1.2020105
1,1.1041,0.92784,0.81642,0.89187,0.8534608,1.009734,1.035786,1.164293
1,1.1252765,1.7186,1.3137,1.9177,1.123886,0.5303633,1.387694,1.0516525
1,1.268,0.9778039,0.7334605,0.9656965,1.7361071,0.9697851,0.895221,0.9977053
0,0,0,0,0,0,0,0,0
10,10,10,10,10,10,10,10,10
